iter	RMSE
0	0.9908709611
1	0.9821043126
2	0.9746650953
3	0.9688185562
4	0.9625352483
5	0.9571854728
6	0.9524343676
7	0.9476703588
8	0.9436016508
9	0.9396974731
10	0.9361284359
11	0.9325965311
12	0.9295993711
13	0.9266253205
14	0.9238989448
15	0.9213581394
16	0.9190076616
17	0.9168970374
18	0.9148311209
19	0.9130140549
20	0.9111968985
21	0.9094991303
22	0.9077989912
23	0.906248471
24	0.9047708703
25	0.9033419894
26	0.9020647168
27	0.9009301585
28	0.8995540621
29	0.8983857427
30	0.8972435824
31	0.8960646631
32	0.8949346427
33	0.8940103849
34	0.8930182708
35	0.8920388854
36	0.8910960739
37	0.8902310879
38	0.8893305945
39	0.8884170069
40	0.8877246324
41	0.8869224486
42	0.886169341
43	0.8854310031
44	0.8848187539
45	0.8840684978
46	0.883386579
47	0.8826592082
48	0.8819881752
49	0.8813554346
50	0.880748436
51	0.8801677284
52	0.8795775202
53	0.8790646886
54	0.8785382228
55	0.8780485738
56	0.8775547744
57	0.8770679691
58	0.8766038105
59	0.8760941273
60	0.8756782191
61	0.8751980036
62	0.8747440151
63	0.8743783794
64	0.873949472
65	0.8735740512
66	0.8732278302
67	0.8728164053
68	0.8724145982
69	0.8720610572
70	0.8717368783
71	0.8713878869
72	0.8710401432
73	0.8706616941774	0.8703287697575	0.869992648776	0.8696927971777	0.869366774778	0.8690360377779	0.8687233348080	0.8683944768181	0.86814902682	0.8657911756
83	0.8654597729
84	0.8651598427
85	0.8648508738
86	0.8645951523
87	0.8643582569
88	0.8641012195
89	0.863863608
90	0.8636084303
91	0.8633634124
92	0.8631555579
93	0.8629027678
94	0.8626655273
95	0.8624225011
96	0.8622210791
97	0.862023234
98	0.8618258085
99	0.8616416372
100	0.8614310001
101	0.8612256818
102	0.8610091597
103	0.860796284
104	0.8606113407
105	0.860413785
106	0.8602162071
107	0.860033715
108	0.8598480027
109	0.8596709097
110	0.8594988169
111	0.859311437
112	0.8591493118
113	0.8589582648
114	0.8588106181
115	0.8586359375
116	0.858479274
117	0.8583174405
118	0.8581561334
119	0.8579954652
120	0.8578470747
121	0.8577133132
122	0.8575705758
123	0.857123	0.851124	0.85124	0.851125	0.85125	0.851126	0.85126	0.857127	0.85127	0.857128	0.8590171358
129	0.8588737045
130	0.858731246
131	0.8586022173
132	0.8584694804
133	0.8583447566
134	0.858225223
135	0.8581078162
136	0.8579769548
137	0.8578638887
138	0.8577296808
139	0.8576050175
140	0.8574890952
141	0.8573823972
142	0.8572559857
143	0.8571413746
144	0.8570262069
145	0.85145	0.85146	0.856146	0.85147	0.856147	0.85148	0.856148	0.85149	0.856149	0.85150	0.856150	0.85151	0.856151	0.8545427114
152	0.854440104
153	0.8543257817
154	0.854220753
155	0.8541158283
156	0.8540140732
157	0.8539133342
158	0.8538075161
159	0.8537086358
160	0.853611188
161	0.8535104459
162	0.8534054176
163	0.8533040441
164	0.8532075304
165	0.8531056377
166	0.8530029934
