iter	Passed	Remaining
0	60	60003
1	62	31213
2	64	21561
3	67	16750
4	69	13819
5	71	11865
6	74	10499
7	76	9513
8	78	8670
9	80	7989
10	82	7444
11	84	6987
12	86	6591
13	89	6295
14	92	6079
15	95	5849
16	97	5618
17	99	5433
18	101	5261
19	104	5130
20	107	5006
21	110	4917
22	112	4789
23	115	4698
24	118	4619
25	120	4521
26	123	4454
27	126	4391
28	129	4321
29	131	4255
30	134	4194
31	136	4134
32	138	4059
33	140	4000
34	142	3942
35	145	3884
36	147	3827
37	149	3774
38	151	3725
39	153	3676
40	155	3629
41	157	3594
42	159	3553
43	161	3511
44	163	3469
45	165	3433
46	167	3393
47	169	3355
48	171	3327
49	173	3299
50	175	3272
51	177	3243
52	179	3214
53	181	3184
54	183	3157
55	185	3128
56	187	3100
57	189	3082
58	192	3064
59	194	3040
60	195	3017
61	198	3002
62	200	2983
63	202	2959
64	204	2938
65	206	2926
66	209	2910
67	211	2895
68	213	2878
69	215	2861
70	217	2843
71	219	2828
72	221	2811
73	223	2798
74	225	2783
75	227	2769
76	229	2753
77	231	2738
78	233	2724
79	235	2709
80	237	2696
81	239	2685
82	241	2672
83	243	2659
84	245	2645
85	247	2633
86	249	2620
87	251	2607
88	253	2597
89	255	2586
90	257	2576
91	260	2566
92	262	2555
93	264	2544
94	266	2535
95	268	2524
96	269	2513
97	271	2502
98	274	2495
99	276	2485
100	278	2476
101	280	2466
102	282	2456
103	284	2446
104	286	2437
105	288	2430
106	290	2424
107	293	2420
108	294	2411
109	296	2401
110	298	2393
111	300	2386
112	303	2379
113	305	2372
114	307	2364
115	309	2356
116	311	2349
117	313	2341
118	315	2334
119	317	2326
120	319	2319
121	321	2313
122	323	2306
123	325	2301
124	327	2294
125	329	2287
126	331	2280
127	333	2273
128	335	2265
129	337	2260
130	340	2255
131	342	2250
132	344	2245
133	346	2238
134	348	2233
135	350	2227
136	352	2221
137	354	2216
138	356	2209
139	358	2203
140	360	2198
141	363	2193
142	365	2188
143	367	2182
144	369	2176
145	371	2172
146	373	2166
147	375	2159
148	377	2154
149	379	2148
150	381	2142
151	383	2137
152	385	2132
153	387	2127
154	389	2125
155	391	2120
156	393	2115
157	395	2109
158	397	2103
159	399	2098
160	401	2094
161	404	2092
162	406	2087
163	408	2083
164	410	2077
165	412	2072
166	414	2067
167	416	2061
